,corpus,embedding,DR,layout-quality-measure,value
432,7Categories,nmf-tfidf,mds,accloc,0
433,7Categories,nmf-tfidf,mds,accglo,0
434,7Categories,nmf-tfidf,mds,perception,0
435,7Categories,nmf-tfidf,som,accloc,0.98
436,7Categories,nmf-tfidf,som,accglo,0.75
437,7Categories,nmf-tfidf,som,perception,0.6
438,7Categories,nmf-tfidf,tsne,accloc,0.99
439,7Categories,nmf-tfidf,tsne,accglo,0.77
440,7Categories,nmf-tfidf,tsne,perception,0.65
441,7Categories,nmf-tfidf,umap,accloc,0.99
442,7Categories,nmf-tfidf,umap,accglo,0.8
443,7Categories,nmf-tfidf,umap,perception,0.64
444,7Categories,nmf-tfidf-SC,mds,accloc,0
445,7Categories,nmf-tfidf-SC,mds,accglo,0
446,7Categories,nmf-tfidf-SC,mds,perception,0
447,7Categories,nmf-tfidf-SC,som,accloc,0.98
448,7Categories,nmf-tfidf-SC,som,accglo,0.81
449,7Categories,nmf-tfidf-SC,som,perception,0.61
450,7Categories,nmf-tfidf-SC,tsne,accloc,0.99
451,7Categories,nmf-tfidf-SC,tsne,accglo,0.85
452,7Categories,nmf-tfidf-SC,tsne,perception,0.65
453,7Categories,nmf-tfidf-SC,umap,accloc,0.99
454,7Categories,nmf-tfidf-SC,umap,accglo,0.88
455,7Categories,nmf-tfidf-SC,umap,perception,0.64
456,7Categories,bert,mds,accloc,0
457,7Categories,bert,mds,accglo,0
458,7Categories,bert,mds,perception,0
459,7Categories,bert,som,accloc,0.98
460,7Categories,bert,som,accglo,0.77
461,7Categories,bert,som,perception,0.68
462,7Categories,bert,tsne,accloc,0.99
463,7Categories,bert,tsne,accglo,0.79
464,7Categories,bert,tsne,perception,0.73
465,7Categories,bert,umap,accloc,0.99
466,7Categories,bert,umap,accglo,0.79
467,7Categories,bert,umap,perception,0.72
468,BBC,bow,mds,accloc,0.47
469,BBC,bow,mds,accglo,0.29
470,BBC,bow,mds,perception,0.25
471,BBC,bow,som,accloc,0.88
472,BBC,bow,som,accglo,0.57
473,BBC,bow,som,perception,0.75
474,BBC,bow,tsne,accloc,0.95
475,BBC,bow,tsne,accglo,0.7
476,BBC,bow,tsne,perception,0.91
477,BBC,bow,umap,accloc,0.84
478,BBC,bow,umap,accglo,0.62
479,BBC,bow,umap,perception,0.77
480,BBC,tfidf,mds,accloc,0.45
481,BBC,tfidf,mds,accglo,0.34
482,BBC,tfidf,mds,perception,0.25
483,BBC,tfidf,som,accloc,0.92
484,BBC,tfidf,som,accglo,0.63
485,BBC,tfidf,som,perception,0.83
486,BBC,tfidf,tsne,accloc,0.96
487,BBC,tfidf,tsne,accglo,0.68
488,BBC,tfidf,tsne,perception,0.91
489,BBC,tfidf,umap,accloc,0.95
490,BBC,tfidf,umap,accglo,0.69
491,BBC,tfidf,umap,perception,0.93
492,BBC,lda,mds,accloc,0.58
493,BBC,lda,mds,accglo,0.38
494,BBC,lda,mds,perception,0.27
495,BBC,lda,som,accloc,0.98
496,BBC,lda,som,accglo,0.78
497,BBC,lda,som,perception,0.51
498,BBC,lda,tsne,accloc,0.98
499,BBC,lda,tsne,accglo,0.71
500,BBC,lda,tsne,perception,0.57
501,BBC,lda,umap,accloc,0.98
502,BBC,lda,umap,accglo,0.79
503,BBC,lda,umap,perception,0.53
504,BBC,lda-SC,mds,accloc,0.56
505,BBC,lda-SC,mds,accglo,0.35
506,BBC,lda-SC,mds,perception,0.28
507,BBC,lda-SC,som,accloc,0.98
508,BBC,lda-SC,som,accglo,0.8
509,BBC,lda-SC,som,perception,0.51
510,BBC,lda-SC,tsne,accloc,0.98
511,BBC,lda-SC,tsne,accglo,0.76
512,BBC,lda-SC,tsne,perception,0.55
513,BBC,lda-SC,umap,accloc,0.98
514,BBC,lda-SC,umap,accglo,0.85
515,BBC,lda-SC,umap,perception,0.54
516,BBC,lsi,mds,accloc,0.54
517,BBC,lsi,mds,accglo,0.36
518,BBC,lsi,mds,perception,0.25
519,BBC,lsi,som,accloc,0.92
520,BBC,lsi,som,accglo,0.77
521,BBC,lsi,som,perception,0.84
522,BBC,lsi,tsne,accloc,0.99
523,BBC,lsi,tsne,accglo,0.85
524,BBC,lsi,tsne,perception,0.88
525,BBC,lsi,umap,accloc,0.93
526,BBC,lsi,umap,accglo,0.82
527,BBC,lsi,umap,perception,0.85
528,BBC,lsi-SC,mds,accloc,0.54
529,BBC,lsi-SC,mds,accglo,0.36
530,BBC,lsi-SC,mds,perception,0.25
531,BBC,lsi-SC,som,accloc,0.93
532,BBC,lsi-SC,som,accglo,0.79
533,BBC,lsi-SC,som,perception,0.84
534,BBC,lsi-SC,tsne,accloc,0.99
535,BBC,lsi-SC,tsne,accglo,0.85
536,BBC,lsi-SC,tsne,perception,0.88
537,BBC,lsi-SC,umap,accloc,0.93
538,BBC,lsi-SC,umap,accglo,0.82
539,BBC,lsi-SC,umap,perception,0.85
540,BBC,lsi-tfidf,mds,accloc,0.53
541,BBC,lsi-tfidf,mds,accglo,0.35
542,BBC,lsi-tfidf,mds,perception,0.24
543,BBC,lsi-tfidf,som,accloc,0.97
544,BBC,lsi-tfidf,som,accglo,0.82
545,BBC,lsi-tfidf,som,perception,0.92
546,BBC,lsi-tfidf,tsne,accloc,0.99
547,BBC,lsi-tfidf,tsne,accglo,0.8
548,BBC,lsi-tfidf,tsne,perception,0.95
549,BBC,lsi-tfidf,umap,accloc,0.98
550,BBC,lsi-tfidf,umap,accglo,0.85
551,BBC,lsi-tfidf,umap,perception,0.94
552,BBC,lsi-tfidf-SC,mds,accloc,0.53
553,BBC,lsi-tfidf-SC,mds,accglo,0.35
554,BBC,lsi-tfidf-SC,mds,perception,0.24
555,BBC,lsi-tfidf-SC,som,accloc,0.98
556,BBC,lsi-tfidf-SC,som,accglo,0.8
557,BBC,lsi-tfidf-SC,som,perception,0.92
558,BBC,lsi-tfidf-SC,tsne,accloc,0.99
559,BBC,lsi-tfidf-SC,tsne,accglo,0.8
560,BBC,lsi-tfidf-SC,tsne,perception,0.95
561,BBC,lsi-tfidf-SC,umap,accloc,0.98
562,BBC,lsi-tfidf-SC,umap,accglo,0.85
563,BBC,lsi-tfidf-SC,umap,perception,0.94
564,BBC,nmf,mds,accloc,0.53
565,BBC,nmf,mds,accglo,0.38
566,BBC,nmf,mds,perception,0.25
567,BBC,nmf,som,accloc,0.96
568,BBC,nmf,som,accglo,0.77
569,BBC,nmf,som,perception,0.68
570,BBC,nmf,tsne,accloc,0.98
571,BBC,nmf,tsne,accglo,0.81
572,BBC,nmf,tsne,perception,0.68
573,BBC,nmf,umap,accloc,0.97
574,BBC,nmf,umap,accglo,0.85
575,BBC,nmf,umap,perception,0.69
576,BBC,nmf-SC,mds,accloc,0.54
